+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+------------------------+-----------------------+--------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Time Elapsed - wo DAMO | Time Elapsed - w DAMO |     Overhead %     |
+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+------------------------+-----------------------+--------------------+
| 100mb_s1000000_a1000000_u1000000_n1024_m1024 |  100mb   |     1000000     |      1000000       |     1000000     |     1024    |     1024    |      5.177526946       |      11.169347559     | 115.72746362293871 |
| 100mb_s1000000_a1000000_u1000000_n1024_m2048 |  100mb   |     1000000     |      1000000       |     1000000     |     1024    |     2048    |      5.174261993       |      11.158000502     | 115.64428931304793 |
|  100mb_s1000000_a1000000_u1000000_n16_m1024  |  100mb   |     1000000     |      1000000       |     1000000     |      16     |     1024    |      5.176186223       |      10.465406343     | 102.18372933527277 |
|   100mb_s1000000_a1000000_u1000000_n16_m16   |  100mb   |     1000000     |      1000000       |     1000000     |      16     |      16     |      5.175579458       |      10.450622606     | 101.92178848392052 |
|  100mb_s1000000_a1000000_u1000000_n16_m2048  |  100mb   |     1000000     |      1000000       |     1000000     |      16     |     2048    |      5.177980449       |      10.478004263     | 102.35696843976247 |
|  100mb_s1000000_a1000000_u1000000_n16_m512   |  100mb   |     1000000     |      1000000       |     1000000     |      16     |     512     |      5.178073943       |      10.454107623     | 101.89181804042076 |
|   100mb_s1000000_a1000000_u1000000_n16_m64   |  100mb   |     1000000     |      1000000       |     1000000     |      16     |      64     |      5.174869512       |      10.475699989     | 102.43408968492656 |
| 100mb_s1000000_a1000000_u1000000_n2048_m2048 |  100mb   |     1000000     |      1000000       |     1000000     |     2048    |     2048    |       5.17689733       |      11.908754794     | 130.03652641494438 |
| 100mb_s1000000_a1000000_u1000000_n512_m1024  |  100mb   |     1000000     |      1000000       |     1000000     |     512     |     1024    |      5.177554406       |      10.796715899     | 108.52926019450892 |
| 100mb_s1000000_a1000000_u1000000_n512_m2048  |  100mb   |     1000000     |      1000000       |     1000000     |     512     |     2048    |      5.178481227       |      10.819476667     | 108.9314645110328  |
|  100mb_s1000000_a1000000_u1000000_n512_m512  |  100mb   |     1000000     |      1000000       |     1000000     |     512     |     512     |      5.178418989       |      10.789094202     | 108.34726245439387 |
|  100mb_s1000000_a1000000_u1000000_n64_m1024  |  100mb   |     1000000     |      1000000       |     1000000     |      64     |     1024    |      5.177256917       |      10.519238932     |  103.181706077964  |
|  100mb_s1000000_a1000000_u1000000_n64_m2048  |  100mb   |     1000000     |      1000000       |     1000000     |      64     |     2048    |      5.176969246       |      10.519838465     | 103.20457713995854 |
|  100mb_s1000000_a1000000_u1000000_n64_m512   |  100mb   |     1000000     |      1000000       |     1000000     |      64     |     512     |      5.178687615       |      10.539078486     | 103.50867380904958 |
|   100mb_s1000000_a1000000_u1000000_n64_m64   |  100mb   |     1000000     |      1000000       |     1000000     |      64     |      64     |      5.178074202       |      10.500740706     | 102.7923953261263  |
| 100mb_s100000_a1000000_u1000000_n1024_m1024  |  100mb   |      100000     |      1000000       |     1000000     |     1024    |     1024    |      5.177142747       |      10.035320916     |  93.8389842894552  |
| 100mb_s100000_a1000000_u1000000_n1024_m2048  |  100mb   |      100000     |      1000000       |     1000000     |     1024    |     2048    |      5.175903717       |      11.047811182     | 113.44699952037382 |
|  100mb_s100000_a1000000_u1000000_n16_m1024   |  100mb   |      100000     |      1000000       |     1000000     |      16     |     1024    |      5.175198922       |       9.44168396      |  82.4409863718085  |
|   100mb_s100000_a1000000_u1000000_n16_m16    |  100mb   |      100000     |      1000000       |     1000000     |      16     |      16     |      5.174999854       |      9.467181626      | 82.94071291001818  |
|  100mb_s100000_a1000000_u1000000_n16_m2048   |  100mb   |      100000     |      1000000       |     1000000     |      16     |     2048    |      5.176974013       |      10.469312212     | 102.22840960202441 |
