+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+-------------------+------------------+--------------------------+--------------------+----------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Elapsed - wo DAMO | Elapsed - w DAMO | Elapsed - w DAMO Default |     Overhead %     | Overhead-w-default % |
+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+-------------------+------------------+--------------------------+--------------------+----------------------+
| 100mb_s1000000_a1000000_u1000000_n1024_m1024 |  100mb   |     1000000     |      1000000       |     1000000     |     1024    |     1024    |    5.177954459    |   11.277551491   |       9.658078044        | 117.79935648908726 |  86.52303956078497   |
| 100mb_s1000000_a1000000_u1000000_n1024_m2048 |  100mb   |     1000000     |      1000000       |     1000000     |     1024    |     2048    |     5.18003735    |   11.313834868   |       9.763824002        | 118.41222569563135 |  88.48945176042021   |
| 100mb_s1000000_a1000000_u1000000_n2048_m2048 |  100mb   |     1000000     |      1000000       |     1000000     |     2048    |     2048    |    5.177550489    |   12.02378213    |        9.71577459        | 132.2291623335245  |  87.65195261044225   |
| 100mb_s1000000_a1000000_u2000000_n1024_m1024 |  100mb   |     1000000     |      1000000       |     2000000     |     1024    |     1024    |    5.176867145    |   11.289791216   |        9.67501751        | 118.08153270659216 |  86.88943020962923   |
| 100mb_s1000000_a1000000_u2000000_n1024_m2048 |  100mb   |     1000000     |      1000000       |     2000000     |     1024    |     2048    |    5.181915381    |   11.29026741    |        9.66823057        | 117.87826662312688 |  86.57638844218712   |
| 100mb_s1000000_a1000000_u2000000_n2048_m2048 |  100mb   |     1000000     |      1000000       |     2000000     |     2048    |     2048    |    5.180249471    |   11.992169186   |       9.691404462        | 131.49790860718954 |  87.08374019927582   |
| 100mb_s1000000_a1000000_u4000000_n1024_m1024 |  100mb   |     1000000     |      1000000       |     4000000     |     1024    |     1024    |    5.176654001    |   11.286792118   |       9.693662471        | 118.0325769468014  |  87.25729919611058   |
| 100mb_s1000000_a1000000_u4000000_n1024_m2048 |  100mb   |     1000000     |      1000000       |     4000000     |     1024    |     2048    |    5.180327336    |   11.246964277   |       9.687201005        | 117.10914286903662 |  86.99978547069944   |
| 100mb_s1000000_a1000000_u4000000_n2048_m2048 |  100mb   |     1000000     |      1000000       |     4000000     |     2048    |     2048    |    5.179548082    |   12.016040111   |       9.705921857        | 131.99012579414452 |  87.38935720531457   |
| 100mb_s1000000_a1000000_u8000000_n1024_m1024 |  100mb   |     1000000     |      1000000       |     8000000     |     1024    |     1024    |    5.175367214    |   11.31449841    |       9.678498386        | 118.6221371769118  |   87.0108532553686   |
| 100mb_s1000000_a1000000_u8000000_n1024_m2048 |  100mb   |     1000000     |      1000000       |     8000000     |     1024    |     2048    |    5.180672059    |   11.303072104   |       9.741660048        | 118.17771855224855 |  88.03853895898567   |
| 100mb_s1000000_a1000000_u8000000_n2048_m2048 |  100mb   |     1000000     |      1000000       |     8000000     |     2048    |     2048    |    5.182447492    |   12.016625231   |       9.669393797        | 131.87162531891988 |  86.57967711060024   |
| 100mb_s1000000_a2000000_u2000000_n1024_m1024 |  100mb   |     1000000     |      2000000       |     2000000     |     1024    |     1024    |    5.185029164    |   10.934298852   |       9.697393667        | 110.88210897476831 |  87.02679117659827   |
| 100mb_s1000000_a2000000_u2000000_n1024_m2048 |  100mb   |     1000000     |      2000000       |     2000000     |     1024    |     2048    |    5.180837156    |   10.911437193   |       9.708114442        | 110.61146807834544 |  87.38505283372777   |
| 100mb_s1000000_a2000000_u2000000_n2048_m2048 |  100mb   |     1000000     |      2000000       |     2000000     |     2048    |     2048    |    5.183135214    |   11.362209803   |       9.711323441        | 119.21499891243239 |  87.36388382786264   |
| 100mb_s1000000_a2000000_u4000000_n1024_m1024 |  100mb   |     1000000     |      2000000       |     4000000     |     1024    |     1024    |    5.176645992    |   10.909140187   |       9.672405155        | 110.73761280680597 |  86.84695012847615   |
